license_number,entity_name,telephone_number,shl_endorsed,building,street,city,state,postcode,type_of_base,latitude,longitude,date,time,location
B02536,SEAGULL RIDE CORP,7187033333,No,2692,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,LIVERY BASE,40.59092,-73.961,12/04/2023,18:00:12,"(40.59092, -73.961)"
B03413,WAV TRANSPORTATION GROUP LTD,7188664108,No,336,KINGS HWY,BROOKLYN,NY,11223,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B03204,EXTRA CAR SERVICE LLC,7186841379,No,1041A,CASTLE HILL AVENUE,BRONX,NY,10472,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B80276,GOGO BUS TOURS INC,9178071358,No,4315,8 AVENUE,BROOKLYN,NY,11232,COMMUTER VAN AUTHORITY BASE,40.644539,-73.9997394,12/04/2023,18:00:12,"(40.644539, -73.9997394)"
B01259,THE NEW BROOKLYN C/S INC,7183882828,No,390,BROADWAY  1FL,BROOKLYN,NY,11211,LIVERY BASE,40.709336,-73.95656,12/04/2023,18:00:12,"(40.709336, -73.95656)"
B00375,THE EXCELLENT C/S INC,7187317777,Yes,144,EAST  174 STREET,BRONX,NY,10457,LIVERY BASE,40.844708,-73.90983,12/04/2023,18:00:12,"(40.844708, -73.90983)"
B02751,RELIANCE GROUP INC,7188509100,No,148-09,LIBERTY AVENUE,JAMAICA,NY,11435,LUXURY/LIMOUSINE,40.728434,-73.78331,12/04/2023,18:00:12,"(40.728434, -73.78331)"
B01639,HIGH CLASS LIMO CAR SVCE CORP,2129261021,No,1700,JEROME AVE,BRONX,NY,10453,LIVERY BASE,40.834828,-73.945041,12/04/2023,18:00:12,"(40.834828, -73.945041)"
B01600,R & N CAR SERVICE INC.,7186582233,No,179-36,HILLSIDE AVENUE,JAMAICA,NY,11432,LIVERY BASE,40.712662,-73.78303,12/04/2023,18:00:12,"(40.712662, -73.78303)"
B00937,RIVERSIDE RADIO DISPATCHER,2129231111,Yes,1642,ST NICHOLAS AVENUE,NEW YORK,NY,10040,LIVERY BASE,40.856313,-73.928389,12/04/2023,18:00:12,"(40.856313, -73.928389)"
B03492,MARINA CAR SERVICE INC,7186222222,No,9425,5 AVENUE,BROOKLYN,NY,11209,BLACK CAR BASE,40.6158579,-74.03069,12/04/2023,18:00:12,"(40.6158579, -74.03069)"
B03144,JUST A MOMENT CAR SERVICE INC,6463793071,No,3100,47 AVENUE  STE 3100,LIC,NY,11101,BLACK CAR BASE,40.7427791,-73.9353777,12/04/2023,18:00:12,"(40.7427791, -73.9353777)"
B02634,VETERANS RADIO DISPATCHER CORP.,7183647878,No,131,KINGSBRIDGE ROAD,BRONX,NY,10468,LIVERY BASE,40.86927,-73.90281,12/04/2023,18:00:12,"(40.86927, -73.90281)"
B90419,D & J SERVICES INC,7188288888,No,1200,ZEREGA AVENUE,BRONX,NY,10462,PARATRANSIT BASE,40.833354,-73.843531,12/04/2023,18:00:12,"(40.833354, -73.843531)"
B03308,B.S.Z. LUXURY BLACK CAR INC.,7184008338,No,80-06,101 AVENUE,OZONE PARK,NY,11416,BLACK CAR BASE,40.6805733,-73.8584575,12/04/2023,18:00:12,"(40.6805733, -73.8584575)"
B01288,NEW ELEGANTE CAR SVC INC,7183283333,No,1804,RANDALL AVENUE,BRONX,NY,10473,LIVERY BASE,40.816803,-73.862557,12/04/2023,18:00:12,"(40.816803, -73.862557)"
B02898,SANO CAR LLC,2125675009,No,5030,BROADWAY  SUITE 676,NEW YORK,NY,10034,BLACK CAR BASE,40.86885,-73.91664,12/04/2023,18:00:12,"(40.86885, -73.91664)"
B03447,HELP TRANSPORTATION GROUP LLC,9174718630,No,1231,LAFAYETTE AVENUE  SUIT L2,BRONX,NY,10474,BLACK CAR BASE,40.8319722,-73.8905847,12/04/2023,18:00:12,"(40.8319722, -73.8905847)"
B00255,CAUTIOUS CARS CORP,7182963333,No,76-19,ROCKAWAY BOULEVARD,WOODHAVEN,NY,11421,LIVERY BASE,40.685534,-73.86372,12/04/2023,18:00:12,"(40.685534, -73.86372)"
B01236,BLS LIMO SVC OF NY INC,7182675426,No,18-20,STEINWAY STREET,ASTORIA,NY,11105,LUXURY/LIMOUSINE,40.779966,-73.898038,12/04/2023,18:00:12,"(40.779966, -73.898038)"
B03028,CASTILLO CAR & LIMO INC,7184994545,No,440,4TH AVENUE,BROOKLYN,NY,11215,BLACK CAR BASE,40.6106051,-73.9545897,12/04/2023,18:00:12,"(40.6106051, -73.9545897)"
B02825,GUADALUPANA II CAR & LIMO INC,7186210404,No,6506,20 AVE,BROOKLYN,NY,11204,BLACK CAR BASE,40.616294,-73.98612,12/04/2023,18:00:12,"(40.616294, -73.98612)"
B02782,NEW APP CAR & LIMO INC,2122227999,No,908,AMSTERDAM AVENUE,NEW YORK,NY,10025,LIVERY BASE,40.79961,-73.96671,12/04/2023,18:00:12,"(40.79961, -73.96671)"
B02599,CMS LIMO INC.,8772675596,No,14,LYNCREST STREET,VALLEY STREAM,NY,11581,LUXURY/LIMOUSINE,40.765173,-73.88592,12/04/2023,18:00:12,"(40.765173, -73.88592)"
B02546,X RADIO DISPATCHER INC.,7183283434,No,1161,SOUTHERN BOULEVARD,BRONX,NY,10459,LIVERY BASE,40.828016,-73.892244,12/04/2023,18:00:12,"(40.828016, -73.892244)"
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,7184787700,No,37-08,100TH STREET,CORONA,NY,11368,LIVERY BASE,40.738362,-73.895646,12/04/2023,18:00:12,"(40.738362, -73.895646)"
B03328,B-QUICK TRANSPORTATION CORP.,3473980856,No,3036,EAST TREMONT AVENUE  SUITE #202,BRONX,NY,10461,BLACK CAR BASE,40.8394692,-73.8371342,12/04/2023,18:00:12,"(40.8394692, -73.8371342)"
B01280,BENSONHURST RIDE INC.,7189461111,No,2134,86 STREET,BROOKLYN,NY,11214,LIVERY BASE,40.602721,-73.99516,12/04/2023,18:00:12,"(40.602721, -73.99516)"
B00054,128 BLUE BIRD TRANSPORT INC.,7185297748,No,111-05,128 STREET,OZONE PARK,NY,11420,LIVERY BASE,40.683921,-73.813971,12/04/2023,18:00:12,"(40.683921, -73.813971)"
B03176,BEE BEE LUXURY SERVICE INC.,7863262425,No,663,BLAKE AVENUE,BROOKLYN,NY,11207,BLACK CAR BASE,40.6681253,-73.8941706,12/04/2023,18:00:12,"(40.6681253, -73.8941706)"
B03448,MCF TRANSPORTATION LLC,3472815730,No,54-14,74TH STREET  SUITE 5511,ELMHURST,NY,11373,BLACK CAR BASE,40.8439899,-73.8291011,12/04/2023,18:00:12,"(40.8439899, -73.8291011)"
B03425,BLACK CAR CHAUFFEUR SERVICE INC,5167329497,No,6800,JERICHO TPKE #W120,SYOSSET,NY,11791,LUXURY/LIMOUSINE,40.8062356,-73.5185566,12/04/2023,18:00:12,"(40.8062356, -73.5185566)"
B01877,U.S.A. LIMO. INC.,7189444919,No,41 - 24,38 STREET,LIC,NY,11101,LUXURY/LIMOUSINE,40.638477,-73.983333,12/04/2023,18:00:12,"(40.638477, -73.983333)"
B01436,NEW PRONTO TRANSP INC,7184575777,Yes,41-09,49 STREET,L.I.C.,NY,11104,LIVERY BASE,40.746164,-73.91524,12/04/2023,18:00:12,"(40.746164, -73.91524)"
B02797,CJ LIMOUSINE LLC,2012425466,No,1605,JOHN STREET  SUITE 201,FORT LEE,NJ,07024,BLACK CAR BASE,40.854042,-73.979192,12/04/2023,18:00:12,"(40.854042, -73.979192)"
B02360,BRIDGES LIMOUSINE INC,7187775743,No,35-28,19 AVENUE,ASTORIA,NY,11105,BLACK CAR BASE,40.779639,-73.901658,12/04/2023,18:00:12,"(40.779639, -73.901658)"
B03474,MAGNOLIA TRANSPORT INC,5163950720,No,26,ERNST AVE,HICKSVILLE,NY,11801,LUXURY/LIMOUSINE,40.7611499,-73.515004,12/04/2023,18:00:12,"(40.7611499, -73.515004)"
B03507,GOLDEN BIRD LIMOUSINES LLC,9179836220,No,103,N. MAIN STREET,ISELIN,NJ,08830,LUXURY/LIMOUSINE,40.5744524,-74.3170096,12/04/2023,18:00:12,"(40.5744524, -74.3170096)"
B03126,YUR DRIVERS NETWORK INC,2019875702,No,151,WEST PASSAIC ST  2ND FL,ROCHELLE PARK,NJ,07662,BLACK CAR BASE,40.9125403,-74.0785644,12/04/2023,18:00:12,"(40.9125403, -74.0785644)"
B03171,HIGHLAND TRANSPORTATION MANAGEMENT CORP.,7182712700,No,34-18,NORTHERN BOULEVARD,LIC,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,12/04/2023,18:00:12,"(40.7517583, -73.929177)"
B02899,NEW BLACK LUXURY CARS CORP,7183887777,No,390,BROADWAY,BROOKLYN,NY,11211,BLACK CAR BASE,40.707063,-73.95449,12/04/2023,18:00:12,"(40.707063, -73.95449)"
B00823,"EASTERN L.P.B.,INC.",7184996227,No,222,15 STREET,BROOKLYN,NY,11215,LIVERY BASE,40.665361,-73.98917,12/04/2023,18:00:12,"(40.665361, -73.98917)"
B03320,LIMOLINK INCORPORATED,3197302100,No,3375,ARMAR DRIVE,MARION,IA,52302,LUXURY/LIMOUSINE,42.0282223,-91.6150655,12/04/2023,18:00:12,"(42.0282223, -91.6150655)"
B02918,LEOPARD INC,7183884488,No,670,FLUSHING AVE  #221,BROOKLYN,NY,11206,BLACK CAR BASE,40.711065,-73.94753,12/04/2023,18:00:12,"(40.711065, -73.94753)"
B03515,CHAPENCITY LIMO INC.,7183066262,No,8758,BAY   16 STREET,BROOKLYN,NY,11214,BLACK CAR BASE,40.6049965,-74.0075516,12/04/2023,18:00:12,"(40.6049965, -74.0075516)"
B03050,"TORINKO NY, LLC",2125186584,No,150,GREEN STREET,VALLEY STREAM,NY,11580,BLACK CAR BASE,40.667703,-73.7239409,12/04/2023,18:00:12,"(40.667703, -73.7239409)"
B02303,MINEOLA TRANSPORTATION INC.,9178595195,No,1267,ATLANTIC AVENUE,BROOKLYN,NY,11216,BLACK CAR BASE,40.678709,-73.948652,12/04/2023,18:00:12,"(40.678709, -73.948652)"
B02027,"PARIS LIMOUSINE SERVICE, CORP",7183961100,No,37-21,VERNON BOULEVARD,LIC,NY,11101,LUXURY/LIMOUSINE,40.759847,-73.943275,12/04/2023,18:00:12,"(40.759847, -73.943275)"
B02711,TRANS CITY TRANSPORTATION INC,2125050900,No,43 - 23,35 STREET,LIC,NY,11101,BLACK CAR BASE,40.713758,-73.75641,12/04/2023,18:00:12,"(40.713758, -73.75641)"
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,7188716800,No,2300 WEST,7TH STREET,BROOKLYN,NY,11223,LIVERY BASE,40.634321,-73.992234,12/04/2023,18:00:12,"(40.634321, -73.992234)"
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,7182716666,Yes,93-04,CORONA AVENUE,ELMHURST,NY,11373,LIVERY BASE,40.742387,-73.871082,12/04/2023,18:00:12,"(40.742387, -73.871082)"
B02021,EASYRIDE CAR SERVICE INC.,7184445557,No,2982,NOSTRAND AVENUE,BROOKLYN,NY,11229,LIVERY BASE,40.611528,-73.944318,12/04/2023,18:00:12,"(40.611528, -73.944318)"
B03293,A & Z LUXURY LIMOUSINE TRANSPORATION INC.,8008286140,No,21-03,44 AVENUE  SUITE 201,L.I.C.,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,12/04/2023,18:00:12,"(40.7517583, -73.929177)"
B03018,AUREUS LLC,9178872105,No,240,KENT AVENUE,BROOKLYN,NY,11249,BLACK CAR BASE,40.7168599,-73.9656726,12/04/2023,18:00:12,"(40.7168599, -73.9656726)"
B02287,ROAD NEW YORK ENTERPRISES INC.,9293541387,No,132 - 02,89TH AVENUE  SUITE #209,RICHMOND HILL,NY,11418,LUXURY/LIMOUSINE,40.746232,-73.942696,12/04/2023,18:00:12,"(40.746232, -73.942696)"
B03369,VIDA CAR SERVICE INC,8576158729,No,416,EAST  176 STREET  STE 2E,BRONX,NY,10457,BLACK CAR BASE,40.846485,-73.9007558,12/04/2023,18:00:12,"(40.846485, -73.9007558)"
B01944,"DAG NETWORK TRANSPORTATION,CORP",2122791700,No,1204,CONEY ISLAND AVENUE,BROOKLYN,NY,11230,LUXURY/LIMOUSINE,40.628184,-73.966085,12/04/2023,18:00:12,"(40.628184, -73.966085)"
B02475,ECKFORD LITE CAR & LIMO INC.,3476129290,No,49-17A,69 STREET,WOODSIDE,NY,11377,BLACK CAR BASE,40.732487,-73.95427,12/04/2023,18:00:12,"(40.732487, -73.95427)"
B01364,NY ATLIXCO CAR SERVICE INC,7184245800,No,102-20,35 AVENUE,CORONA,NY,11368,LIVERY BASE,40.75458,-73.86581,12/04/2023,18:00:12,"(40.75458, -73.86581)"
B03396,ADAMES GROUP INC,6315074932,No,63,3RD AVE,LINDENHURST,NY,11757,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B02566,GSL LIMOUSINES CORP.,7184724200,No,40-28,23 STREET,LIC,NY,11101,LUXURY/LIMOUSINE,40.742391,-73.957749,12/04/2023,18:00:12,"(40.742391, -73.957749)"
B02285,"VALERA GLOBAL, INC.",7184331111,No,1200,SHAMES DRIVE  UNIT D,WESTBURY,NY,11590,LUXURY/LIMOUSINE,40.740256,-73.952684,12/04/2023,18:00:12,"(40.740256, -73.952684)"
B01721,W.K. CAR & LIMO SERVICE INC,2122741166,No,1206,60TH STREET,BROOKLYN,NY,11219,LIVERY BASE,40.712007,-73.99515,12/04/2023,18:00:12,"(40.712007, -73.99515)"
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",7184854444,No,866,NEW LOTS AVENUE,BROOKLYN,NY,11208,LIVERY BASE,40.667838,-73.8788,12/04/2023,18:00:12,"(40.667838, -73.8788)"
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",7187290900,No,42-06,BROADWAY,ASTORIA,NY,11103,LUXURY/LIMOUSINE,40.757906,-73.917312,12/04/2023,18:00:12,"(40.757906, -73.917312)"
B00171,CURB TRANSPORTATION SERVICES LLC.,7182220600,No,11 - 11,34 AVENUE,LIC,NY,11106,LIVERY BASE,40.762829,-73.7718,12/04/2023,18:00:12,"(40.762829, -73.7718)"
B02735,"BEST DEAL CAR SERVICE 2,INC.",7183790009,No,2100,BARTOW AVENUE,BRONX,NY,10475,LIVERY BASE,40.868211,-73.82485,12/04/2023,18:00:12,"(40.868211, -73.82485)"
B03002,"REYNO,INC.",2129236800,No,609,W 175TH STREET,NEW YORK,NY,10033,BLACK CAR BASE,40.8457967,-73.937012,12/04/2023,18:00:12,"(40.8457967, -73.937012)"
B00948,510 CAR SERVICE CORP,7184857575,No,2225,PITKIN AVENUE,BROOKLYN,NY,11207,LIVERY BASE,40.672911,-73.890252,12/04/2023,18:00:12,"(40.672911, -73.890252)"
B02637,ROOSEVELT CAR & LIMO INC.,7187868888,No,3708,100TH STREET,CORONA,NY,11368,BLACK CAR BASE,40.754266,-73.919855,12/04/2023,18:00:12,"(40.754266, -73.919855)"
B01745,AZUAY CORPORATION,7187384994,Yes,96-04,LIBERTY AVE,QUEENS,NY,11417,LIVERY BASE,40.68254,-73.8359,12/04/2023,18:00:12,"(40.68254, -73.8359)"
B03485,A & B LIMO NY LLC,9293939969,No,82,WHALEY AVE,BETHPAGE,NY,11714,LUXURY/LIMOUSINE,40.7311846,-73.4823532,12/04/2023,18:00:12,"(40.7311846, -73.4823532)"
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",6317531234,No,380,NEW HWAY,LINDENHURST,NY,11757,LUXURY/LIMOUSINE,40.717012,-73.406118,12/04/2023,18:00:12,"(40.717012, -73.406118)"
B02833,ADVANCED LUXURY LIMO SVC. INC.,7182312188,No,3945,PROVOST AVENUE,BRONX,NY,10466,BLACK CAR BASE,40.833404,-73.84037,12/04/2023,18:00:12,"(40.833404, -73.84037)"
B03480,EZ DONE SERVICES CORP,8007691861,No,3418,NORTHERN BLVD  V05,LONGISLAND CITY,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,12/04/2023,18:00:12,"(40.7517583, -73.929177)"
B01341,A NEW DAY RAD DISP INC,2122286666,No,84,CLINTON STREET,NEW YORK,NY,10002,LIVERY BASE,40.718549,-73.98515,12/04/2023,18:00:12,"(40.718549, -73.98515)"
B03529,NEW WILLIAMSBURG LUXURY CORP,7185610442,No,220,MARCUS GARVEY BOULEVARD,BROOKLYN,NY,11221,BLACK CAR BASE,40.6902799,-73.939661,12/04/2023,18:00:12,"(40.6902799, -73.939661)"
B03400,JNS & G TRANSPORTATION INC.,7183961749,No,94-19,ROOSEVELT AVENUVE,JACKSON HEIGHTS,NY,11372,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B02248,HYBRID LIMO EXPRESS INC.,7186434600,No,241,37 STREET  STE#1-4-B460,BROOKLYN,NY,11232,BLACK CAR BASE,40.678782,-73.989979,12/04/2023,18:00:12,"(40.678782, -73.989979)"
B03092,USA LIMOUSINE SERVICE CORP,7185612872,No,520,WHITE PLAINS RD  SUITE 500,TARRY TOWN,NY,10591,BLACK CAR BASE,41.062651,-73.8405809,12/04/2023,18:00:12,"(41.062651, -73.8405809)"
B00170,EMUNAH CAR SERVICE INC,7189750909,No,1311,51 STREET,BROOKLYN,NY,11219,LIVERY BASE,40.633811,-73.992805,12/04/2023,18:00:12,"(40.633811, -73.992805)"
B03152,EXIT LUXURY INC.,7184729800,Yes,29 - 10,36 AVENUE,ASTORIA,NY,11106,BLACK CAR BASE,40.7570445,-73.9311832,12/04/2023,18:00:12,"(40.7570445, -73.9311832)"
B00446,COMMUNICAR INCORPORATED,7184181100,No,73-10,88 STREET,GLENDALE,NY,11385,BLACK CAR BASE,40.70868,-73.863547,12/04/2023,18:00:12,"(40.70868, -73.863547)"
B03303,MOTA LUXURY CORP.,9179942332,No,96-14,101 AVENUE,JAMAICA,NY,11416,BLACK CAR BASE,40.6845437,-73.8444022,12/04/2023,18:00:12,"(40.6845437, -73.8444022)"
B03302,TEST LX BASE,2126761000,Yes,33,BEAVER STREET  19TH FLOOR,NEW YORK,NY,10004,LUXURY/LIMOUSINE,40.7050651,-74.01179,12/04/2023,18:00:12,"(40.7050651, -74.01179)"
B01239,BEST DEAL PVT C/S INC,7187985555,No,757A,BURKE AVENUE,BRONX,NY,10467,LIVERY BASE,40.871551,-73.86485,12/04/2023,18:00:12,"(40.871551, -73.86485)"
B03479,ALL YOU NEED TRANSPORTATION CORP,9782301486,No,1768,EAST  172 STREET,BRONX,NY,10472,BLACK CAR BASE,40.8326359,-73.8681738,12/04/2023,18:00:12,"(40.8326359, -73.8681738)"
B02339,SEDANZ INC.,2123006083,No,14,HARWOOD COURT  SUITE #415,SCARSDALE,NY,10583,LUXURY/LIMOUSINE,40.776091,-73.89722,12/04/2023,18:00:12,"(40.776091, -73.89722)"
B03333,ABSOLUTE CAR SERVICE CORP.,7187929222,No,729,BURKE AVENUE  SUITE - A,BRONX,NY,10467,BLACK CAR BASE,40.8716488,-73.8656205,12/04/2023,18:00:12,"(40.8716488, -73.8656205)"
B03399,BLACKLANE NORTH AMERICA INC,2017773235,No,111,TOWN SQUARE PLACE  SUIT # 1203,JERSEY CITY,NJ,07310,LUXURY/LIMOUSINE,40.7262903,-74.0337489,12/04/2023,18:00:12,"(40.7262903, -74.0337489)"
B02724,"CORE CAR, INC",2033483199,No,30,COMMERCE ROAD,STAMFORD,CT,06902,LUXURY/LIMOUSINE,41.046382,-73.56163,12/04/2023,18:00:12,"(41.046382, -73.56163)"
B02901,GALLANT LUXURY SERVICE CORP.,2123040707,No,5030,BROADWAY  SUITE 804,NEW YORK,NY,10034,BLACK CAR BASE,40.86885,-73.91664,12/04/2023,18:00:12,"(40.86885, -73.91664)"
B03504,ABT CHAUFFEUR SERVICES LLC,2126319970,No,10,WEST   66 STREET,NEW YORK,NY,10023,LUXURY/LIMOUSINE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B03368,BEST CHOICE CAR SERVIE CORPORATION,3474687823,No,7527,197 STREET  2ND FLOOR,FRESH MEADOWS,NY,11366,BLACK CAR BASE,40.7327926,-73.7735376,12/04/2023,18:00:12,"(40.7327926, -73.7735376)"
B03330,OSO AUTO CORP,3473276111,No,561,WEST  152 STREET,NEW YORK,NY,10031,BLACK CAR BASE,40.8307901,-73.9468348,12/04/2023,18:00:12,"(40.8307901, -73.9468348)"
B02839,YERUSHALAYIM CAR&LIMO INC,7183874900,No,343,ROEBLING STREET,BROOKLYN,NY,11211,LIVERY BASE,40.707303,-73.96101,12/04/2023,18:00:12,"(40.707303, -73.96101)"
B03022,BLACK CAR EXPRESS.COM CORP,5164720811,No,8,MAPLE ST  STE 4,PORT WASHINGTON,NY,11050,BLACK CAR BASE,40.8298877,-73.6847217,12/04/2023,18:00:12,"(40.8298877, -73.6847217)"
B01949,FIRST CLASS OF NEW YORK INC.,7186436053,No,241,37TH STEET,BROOKLYN,NY,11232,BLACK CAR BASE,40.678782,-73.989979,12/04/2023,18:00:12,"(40.678782, -73.989979)"
B02967,ABIEL TRANSPORTATION CORP,7187336000,No,261,EAST KINGSBRIDGE ROAD  N-46,BRONX,NY,10458,BLACK CAR BASE,40.863983,-73.89383,12/04/2023,18:00:12,"(40.863983, -73.89383)"
B00965,BEN JEVO MGT. INC.,7184422277,No,2,TOMPKINS AVENUE,STATEN ISLAND,NY,10304,LIVERY BASE,40.624172,-74.07967,12/04/2023,18:00:12,"(40.624172, -74.07967)"
B02060,AMERICAN LIMOUSINE LLC,2015293610,No,365,RIFLE CAMP ROAD  SUITE 202,WOODLAND PARK,NJ,07424,LUXURY/LIMOUSINE,41.083191,-74.149513,12/04/2023,18:00:12,"(41.083191, -74.149513)"
B01726,SUPER CLASS RADIO DISP INC,7183672222,Yes,1831,GRAND CONCOURSE,BRONX,NY,10453,LIVERY BASE,40.847759,-73.907886,12/04/2023,18:00:12,"(40.847759, -73.907886)"
B03225,ALCON EXPRESS INC,7185244121,No,1264,CASTLETON AVE,STATEN ISLAND,NY,10310,BLACK CAR BASE,40.6337961,-74.1248216,12/04/2023,18:00:12,"(40.6337961, -74.1248216)"
B03445,INWOOD CAR AND LIMO INC,2034479265,No,2320,HUGHES AVENUE  SUITE #2,BRONX,NY,10458,BLACK CAR BASE,40.8536206,-73.8874724,12/04/2023,18:00:12,"(40.8536206, -73.8874724)"
B03513,"AMP TRANSPORTATION MANAGEMENT, LLC.",7184001267,No,1303,ALLERTON AVENUE,BRONX,NY,10469,BLACK CAR BASE,40.7101523,-73.7928657,12/04/2023,18:00:12,"(40.7101523, -73.7928657)"
B01479,PRATT CAR SERVICE INC,7187894900,No,175,TOMPKINS AVENUE,BROOKLYN,NY,11206,LIVERY BASE,40.693241,-73.945613,12/04/2023,18:00:12,"(40.693241, -73.945613)"
B00256,FAST OPERATING CORP,2126666666,No,2642,BROADWAY,NY,NY,10025,LIVERY BASE,40.760313,-73.9412,12/04/2023,18:00:12,"(40.760313, -73.9412)"
B03343,"GRACEFUL TRANSPORTATION, INC",3478469258,No,169-30,JAMAICA AVE,JAMAICA,NY,11432,BLACK CAR BASE,40.6841649,-73.8590297,12/04/2023,18:00:12,"(40.6841649, -73.8590297)"
B03550,BROADWAY CAR SERVICE INC,9142993605,No,95,RIVERDALE AVE,YONKERS,NY,10701,BLACK CAR BASE,,,12/04/2023,18:00:12,
B03161,LA MEXICANA EXPRESS 2 INC.,7184373535,No,4611,5 AVENUE,BROOKLYN,NY,11220,BLACK CAR BASE,40.6469831,-74.0080603,12/04/2023,18:00:12,"(40.6469831, -74.0080603)"
B03408,ABR LUXURY TRANSPORTATION CORP.,3472523200,No,3418,NORTHERN BOULEVARD  SUITE 39,L.I.C.,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,12/04/2023,18:00:12,"(40.7517583, -73.929177)"
B02822,MILKY WAY LIMO CORP,7186746277,Yes,75-19,PARSONS BOULEVARD,FRESH MEADOWS,NY,11366,BLACK CAR BASE,40.72595,-73.810672,12/04/2023,18:00:12,"(40.72595, -73.810672)"
B00477,INTA-BORO ACRES INC,7188451705,No,88-19,101 AVENUE,OZONE PARK,NY,11416,BLACK CAR BASE,40.682991,-73.851316,12/04/2023,18:00:12,"(40.682991, -73.851316)"
B03450,SYDNEY LUXURY LIMO INC.,3475242008,No,53,WEST 48TH STREET  B1,BAYONNE,NJ,07002,BLACK CAR BASE,40.6827361,-74.1048931,12/04/2023,18:00:12,"(40.6827361, -74.1048931)"
B02429,SEAGULL RIDE CORP,7187033333,No,2692,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,BLACK CAR BASE,40.59092,-73.961,12/04/2023,18:00:12,"(40.59092, -73.961)"
B01128,PAK-EAGLE INC.,7185751212,Yes,72-55,KISSENA BOULEVARD,FLUSHING,NY,11367,LIVERY BASE,40.727695,-73.8129,12/04/2023,18:00:12,"(40.727695, -73.8129)"
B00411,FONE-A-CAR INC,7186376320,No,41 - 24,38TH STREET,LIC,NY,11101,BLACK CAR BASE,40.638477,-73.98333,12/04/2023,18:00:12,"(40.638477, -73.98333)"
B03131,HYTCH HOLDING LLC,8889948356,No,238,MAIN STREET  SUITE 101,HACKENSACK,NJ,07601,BLACK CAR BASE,40.8856835,-74.0417975,12/04/2023,18:00:12,"(40.8856835, -74.0417975)"
B02819,FIVE STAR LUXURY INC.,7189400044,No,787,CONEY ISLAND AVENUE,BROOKLYN,NY,11218,BLACK CAR BASE,40.638265,-73.96821,12/04/2023,18:00:12,"(40.638265, -73.96821)"
B90731,AGNES TRANSPORTATION LIMITED LIABILITY COMPANY,7184901563,No,119-22,196 STREET,ST.ALBANS,NY,11412,PARATRANSIT BASE,40.6900283,-73.7546203,12/04/2023,18:00:12,"(40.6900283, -73.7546203)"
B01803,"V.I.P. CONNECTION, INC.",7183926100,No,53-38,35 STREET,LIC,NY,11101,BLACK CAR BASE,40.735324,-73.938114,12/04/2023,18:00:12,"(40.735324, -73.938114)"
B02772,"TAP & RIDE,INC.",7184806660,Yes,86-11,LEFFERTS BOULEVARD  SUITE 2A,RICHMOND HILL,NY,11418,BLACK CAR BASE,40.701122,-73.83138,12/04/2023,18:00:12,"(40.701122, -73.83138)"
B02005,CAR LINE TRANSPORTATION CORP.,7187292222,No,43-39,21 STREET  SUITE 203,LIC,NY,11101,BLACK CAR BASE,40.749703,-73.945981,12/04/2023,18:00:12,"(40.749703, -73.945981)"
B03172,ALLIED BLACK CAR SERVICE LLC.,9295947566,No,2825/2823,3RD AVEUNE  6G,BRONX,NY,10455,BLACK CAR BASE,40.8158019,-73.9184149,12/04/2023,18:00:12,"(40.8158019, -73.9184149)"
B02315,LA MORENITA CAR LIMO SERVICE INC,7186150039,No,115,BRIGHTON   11 STREET,BROOKLYN,NY,11235,LIVERY BASE,40.579811,-73.95744,12/04/2023,18:00:12,"(40.579811, -73.95744)"
B00290,ZPI CORPORATION,7185076363,No,112-47,ROOSEVELT AVENUE,CORONA,NY,11368,LIVERY BASE,40.752235,-73.85365,12/04/2023,18:00:12,"(40.752235, -73.85365)"
B03391,TIAZ LIMO CAR SERVICE CORP,3476129203,No,8136,BAXTER AVENUE,ELMHURST,NY,11373,BLACK CAR BASE,40.7459771,-73.8833836,12/04/2023,18:00:12,"(40.7459771, -73.8833836)"
B02727,OSCAR LIMOUSINE INC,8773451683,No,3646,PRAIRIE PATH,BETHPAGE,NY,11714,LUXURY/LIMOUSINE,40.803977,-73.40549,12/04/2023,18:00:12,"(40.803977, -73.40549)"
